Comment,Designator,Footprint,LCSC
16MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C13738
ATmega328-A,uC1,TQFP-32_7x7mm_P0.8mm,C14877
22p,"C3,C4",C_0402_1005Metric,C1555
100k,R13,R_1206_3216Metric,C17900
10k,"R1,R2",R_1206_3216Metric,C17902
2k,"R3,R4,R5",R_1206_3216Metric,C17944
LM2596S-5,U1,TO-263-5_TabPin3,C194349
S8050,"Q1,Q2,Q3",SOT-23-3,C2146
Shottky 24 5V,D5,D_SOD-128,C2766156
680uF,C1,C_Elec_10x10.2,C335987
220uF,C2,C_Elec_10x10.2,C393833
1k,R6,R_1206_3216Metric,C4410
33uH,L1,L_7.3x7.3_H4.5,C514809
LED,D1,LED_0805_2012Metric,C84256
TestPoint,TP4,TestPoint_Pad_1.5x1.5mm,
TestPoint,TP3,TestPoint_Pad_1.5x1.5mm,
TestPoint,TP2,TestPoint_Pad_1.5x1.5mm,
TestPoint,TP1,TestPoint_Pad_1.5x1.5mm,
Connecteur_Alim,J1,TerminalBlock_bornier-2_P5.08mm,
Connecteur_bouton_1,J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Connecteur_led_3,J9,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Connecteur_ecran,J2,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,
Connecteur_Prog,J4,PinHeader_1x08_P2.54mm_Vertical,
Connecteur_led_2,J8,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Connecteur_clavier_1,J3,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
MountingHole_Pad,H1,MountingHole_4.3mm_M4_DIN965_Pad,
Connecteur_communication,J10,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
Connecteur_led_1,J7,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
MountingHole_Pad,H4,MountingHole_4.3mm_M4_DIN965_Pad,
Connecteur_bouton_2,J6,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,
MountingHole_Pad,H3,MountingHole_4.3mm_M4_DIN965_Pad,
MountingHole_Pad,H2,MountingHole_4.3mm_M4_DIN965_Pad,
Connecteur_clavier_2,J11,JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal,
