Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,680uF,C_Elec_10x10.2,87.5,-35.0,-90.0,top
C2,220uF,C_Elec_10x10.2,52.5,-42.5,-90.0,top
C3,22p,C_0402_1005Metric,77.675,-65.225,-90.0,top
C4,22p,C_0402_1005Metric,72.175,-65.205,-90.0,top
D1,LED,LED_0805_2012Metric,74.875,-51.0,180.0,top
D5,Shottky 24 5V,D_SOD-128,62.5,-42.8,-90.0,top
L1,33uH,L_7.3x7.3_H4.5,56.19,-30.26,180.0,top
Q1,S8050,SOT-23-3,63.0,-110.0,-90.0,top
Q2,S8050,SOT-23-3,79.65,-110.0,-90.0,top
Q3,S8050,SOT-23-3,96.25,-110.0,-90.0,top
R1,10k,R_1206_3216Metric,45.0,-79.42,0.0,top
R2,10k,R_1206_3216Metric,45.0,-98.17,0.0,top
R3,2k,R_1206_3216Metric,63.5,-104.5375,-90.0,top
R4,2k,R_1206_3216Metric,80.23,-104.5375,-90.0,top
R5,2k,R_1206_3216Metric,96.83,-104.5375,-90.0,top
R6,1k,R_1206_3216Metric,69.4625,-51.51,0.0,top
R13,100k,R_1206_3216Metric,99.0375,-87.5,180.0,top
U1,LM2596S-5,TO-263-5_TabPin3,72.775,-37.5,-90.0,top
uC1,ATmega328-A,TQFP-32_7x7mm_P0.8mm,77.5,-77.5,-90.0,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,74.925,-65.725,180.0,top
